Stream,Name,Dist,Prop_Downstream,Width,Depth,Curve,LBS,RBS,MaxBS,MinBS,AvBS,Asy,W/D
CHC,CHC1,632,0.328653146,20.72175463,2.724912,0.012947665,0.29,0.28,0.29,0.28,0.29,1.021922111,7.604559204
CHC,CHC2,691,0.359334373,19.91619908,2.554224,0.008745485,0.23,0.23,0.23,0.23,0.23,1.002396204,7.797358055
CHC,CHC3,745,0.387415497,27.13431821,2.593848,0.019776083,0.19,0.2,0.2,0.19,0.2,1.052631579,10.46102864
CHC,CHC4,824,0.42849714,28.98409608,2.69748,0.0017,0.26,0.24,0.26,0.24,0.25,1.074686431,10.74487895
CHC,CHC5,987,0.51326053,28.24393594,3.371088,0.000975878,0.3,0.17,0.3,0.17,0.24,1.764446367,8.378284975
CHC,CHC6,1085,0.564222569,31.08066931,2.831592,0.006325489,0.16,0.22,0.22,0.16,0.19,1.375,10.97639395
CHC,CHC7,1168,0.607384295,34.34822017,2.630424,0.008937249,0.16,0.22,0.22,0.16,0.19,1.375,13.05805458
CHC,CHC8,1206,0.627145086,28.19320335,3.13944,0.009471382,0.17,0.56,0.56,0.17,0.36,3.294117647,8.980328769
CHC,CHC9,1249,0.64950598,29.30982627,3.066288,0.008839384,0.26,0.18,0.26,0.18,0.22,1.462306163,9.55873234
CHC,CHC10,1276,0.663546542,35.40576316,2.578608,0.007,0.13,0.23,0.23,0.13,0.18,1.769230769,13.73057214
CHC,CHC11,1327,0.690067603,36.60238526,2.977896,0.003666348,0.09,0.35,0.35,0.09,0.22,3.888888889,12.29135781
CHC,CHC12,1286,0.66874675,37.98473759,2.770632,0.006383565,0.43,0.27,0.43,0.27,0.35,1.589529915,13.70977365
CHC,CHC13,1534,0.797711908,32.8318254,2.715768,0.014880818,0.22,0.14,0.22,0.14,0.18,1.613662921,12.08933362
CHC,CHC14,1615,0.839833593,29.80181242,2.752344,0.016629397,0.18,0.16,0.18,0.16,0.17,1.115797753,10.82779348
CHC,CHC15,1619,0.841913677,31.80758537,2.795016,0.016629397,0.18,0.16,0.18,0.16,0.17,1.103555071,11.38010851
CHC,CHC16,1667,0.866874675,32.55189671,2.94132,0.014,0.26,0.14,0.26,0.14,0.2,1.863378238,11.06710481
CHC,CHC17,1923,1,45.71800419,3.304032,0.005699837,0.37,0.1,0.37,0.1,0.23,3.834735849,13.83703432
SC,SC1,976,0.434937611,11.13044575,2.1784056,0.009,0.39,0.53,0.53,0.39,0.46,1.358974359,5.109445987
SC,SC2,986,0.439393939,9.279260333,2.1555456,0.006050973,0.46,0.64,0.64,0.46,0.55,1.391304348,4.304831377
SC,SC3,1016,0.452762923,10.23052903,1.9668744,0.001424756,0.41,0.34,0.41,0.34,0.38,1.199488372,5.201414503
SC,SC4,1108,0.493761141,15.57939973,2.2689312,0.009429102,0.5,0.39,0.5,0.39,0.45,1.278164117,6.866404645
SC,SC5,,,16.79823158,2.4012144,,0.64,0.37,0.64,0.37,0.51,1.73,6.995723322
SC,SC6,1310,0.583778966,13.04057553,2.04216,0.001638957,0.31,0.31,0.31,0.31,0.31,0.987952522,6.38567768
SC,SC7,1262,0.562388592,11.26019886,2.2561296,0.00700434,0.46,0.4,0.46,0.4,0.43,1.142622036,4.990936186
SC,SC8,1341,0.597593583,17.2830169,2.520696,0.000150134,0.31,0.3,0.31,0.3,0.3,1.049808673,6.856446354
SC,SC9,1385,0.617201426,24.12507138,2.8251912,0.001024256,0.25,0.28,0.28,0.25,0.26,1.12,8.539270326
SC,SC10,1450,0.646167558,22.03962024,2.7422856,0.003672753,0.28,0.23,0.28,0.23,0.25,1.232,8.036952913
SC,SC11,1515,0.67513369,30.38987261,3.1113984,0.007,0.28,0.18,0.28,0.18,0.23,1.544117647,9.767271401
SC,SC12,1569,0.699197861,20.48709086,2.9620464,0.001318353,0.31,0.27,0.31,0.27,0.29,1.161845992,6.916532725
SC,SC13,1593,0.709893048,31.20701404,3.1598616,0.003384503,0.26,0.17,0.26,0.17,0.21,1.570939335,9.876069901
SC,SC14,1639,0.730392157,36.02811197,2.9730192,0.00642254,0.17,0.24,0.24,0.17,0.2,1.411764706,12.11835832
SC,SC15,1686,0.751336898,26.62849637,3.2665416,0.006006534,0.27,0.27,0.27,0.27,0.27,0.984438202,8.151892622
SC,SC16,1729,0.770499109,32.25312843,3.212592,0.005394555,0.25,0.25,0.25,0.25,0.25,1.015768057,10.03959682
SC,SC17,1713,0.763368984,27.73110341,3.279648,0.006226283,0.24,0.23,0.24,0.23,0.23,1.054851675,8.455512119
SC,SC18,1745,0.777629234,30.76295458,3.334512,0.005394555,0.28,0.27,0.28,0.27,0.27,1.053493014,9.225624193
SC,SC19,1786,0.795900178,32.08724933,2.993136,0.003749026,0.21,0.24,0.24,0.21,0.22,1.142857143,10.72027777
SC,SC20,1842,0.820855615,30.83448541,3.71856,0.02,0.34,0.3,0.34,0.3,0.32,1.120241379,8.29204999
SC,SC21,1888,0.841354724,34.61051852,3.182112,0.016902709,0.28,0.29,0.29,0.28,0.29,1.035714286,10.87658716
SC,SC22,,,,,,,,,,,,
SC,SC23,2020,0.900178253,39.81700453,3.26136,0.0095,0.27,0.21,0.27,0.21,0.24,1.263204188,12.20871187
SC,SC24,,,27.66008188,3.742944,,0.49,0.31,0.49,0.31,0.4,1.58,7.389926721
SC,SC25,2013,0.897058824,27.08135964,3.051048,0.009351778,0.22,0.23,0.23,0.22,0.22,1.045454545,8.876084427
SC,SC26,2128,0.948306595,30.24072479,3.060192,0.016322455,0.26,0.17,0.26,0.17,0.21,1.548683652,9.881969755
SC,SC27,2181,0.971925134,37.86777365,3.233928,0.012,0.23,0.15,0.23,0.15,0.19,1.545458052,11.70952898
SC,SC28,2244,1,33.36633908,3.081528,0.011279157,0.17,0.2,0.2,0.17,0.18,1.176470588,10.82785523